Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Spannung U_A / V;Rate R_A / 1/s
72,999;65;73;73;-3,4921875;25,0218140174604
74;96;74;74;-3,4921875;15,5388875088877
74,999;78;75;75;-3,10416666666667;28,0156523449651
76;84;76;76;-3,4921875;28,8881249584733
76,999;74;77;77;-3,4921875;24,4285930018743
77,998;70;78;78;-3,10416666666667;29,0470125898767
78,999;90;79;79;-3,4921875;26,6423688262971
79,999;90;80;80;-3,4921875;32,2184168692076
80,998;68;81;81;-3,4921875;30,044703514359
81,999;75;82;82;-2,71614583333333;30,0048457825939
83;79;83;83;-3,4921875;17,7548956628008
84;68;84;84;-3,4921875;29,9989200388786
84,999;62;85;85;-3,4921875;29,9909194160657
86;78;86;86;-3,10416666666667;22,0181936333993
87;62;87;87;-3,4921875;28,9795056935735
87,999;68;88;88;-3,4921875;20,9949821992544
88,999;75;89;89;-3,10416666666667;26,9906234574109
90,001;58;90;90;-3,4921875;26,9788404953995
90,999;83;91;91;-2,328125;18,0228908736987
91,999;78;92;92;-3,4921875;37,7721413349097
93;59;93;93;-3,10416666666667;27,9953807621742
94;70;94;94;-3,4921875;26,6625724805369
95;60;95;95;-2,71614583333333;16,9950425460893
95,999;52;96;96;-3,10416666666667;24,0416328956855
96,999;74;97;97;-3,4921875;22,2079178555768
98;58;98;98;-3,4921875;25,5365053225849
98,998;58;99;99;-3,4921875;24,4336963329131
99,999;58;100;100;-3,4921875;28,0161765403344
101;64;101;101;-3,4921875;14,4313295728249
101,999;59;102;102;-3,4921875;29,0446212516289
103;51;103;103;-2,328125;18,9861059676529
103,999;63;104;104;-3,4921875;20,0276140742856
104,999;51;105;105;-3,4921875;26,6518186423697
105,999;55;106;106;-3,4921875;21,0994735792392
106,999;49;107;107;-2,71614583333333;19,9959585945907
107,998;53;108;108;-3,4921875;24,9938565100698
108,999;52;109;109;-3,10416666666667;22,9973185126614
109,999;54;110;110;-3,10416666666667;21,000682522182
110,999;60;111;111;-3,4921875;23,0113860338095
