Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
;250;689;689;;
;261;690;690;;
;240;691;691;;
;247;692;692;;
;287;693;693;;
;264;694;694;;
;276;695;695;;
;300;696;696;;
;287;697;697;;
;244;698;698;;
;283;699;699;;
;224;700;700;;
;246;701;701;;
;244;702;702;;
;232;703;703;;
;226;704;704;;
;242;705;705;;
;233;706;706;;
;214;707;707;;
;206;708;708;;
;210;709;709;;
;209;710;710;;
;191;711;711;;
;180;712;712;;
;148;713;713;;
;168;714;714;;
;160;715;715;;
;135;716;716;;
;111;717;717;;
;127;718;718;;
;113;719;719;;
;94;720;720;;
;90;721;721;;
;82;722;722;;
;78;723;723;;
;76;724;724;;
;75;725;725;;
;63;726;726;;
;57;727;727;;
;61;728;728;;
;63;729;729;;
;36;730;730;;
;53;731;731;;
;43;732;732;;
;35;733;733;;
;42;734;734;;
;43;735;735;;
;30;736;736;;
;47;737;737;;
;30;738;738;;
;47;739;739;;
;37;740;740;;
;29;741;741;;
;37;742;742;;
;25;743;743;;
;32;744;744;;
;40;745;745;;
;37;746;746;;
;33;747;747;;
;35;748;748;;
;46;749;749;;
;48;750;750;;
;45;751;751;;
;55;752;752;;
;61;753;753;;
;58;754;754;;
;66;755;755;;
;80;756;756;;
;68;757;757;;
;89;758;758;;
;78;759;759;;
;86;760;760;;
;77;761;761;;
;93;762;762;;
;101;763;763;;
;102;764;764;;
;115;765;765;;
;123;766;766;;
;132;767;767;;
;135;768;768;;
;134;769;769;;
;133;770;770;;
;134;771;771;;
;158;772;772;;
;149;773;773;;
;165;774;774;;
;152;775;775;;
;190;776;776;;
;176;777;777;;
;169;778;778;;
;197;779;779;;
;169;780;780;;
;186;781;781;;
;197;782;782;;
;163;783;783;;
;175;784;784;;
;190;785;785;;
;175;786;786;;
;194;787;787;;
;189;788;788;;
;185;789;789;;
;195;790;790;;
;196;791;791;;
;158;792;792;;
;206;793;793;;
;186;794;794;;
;162;795;795;;
;162;796;796;;
;155;797;797;;
;156;798;798;;
;173;799;799;;
;178;800;800;;
;159;801;801;;
;132;802;802;;
;142;803;803;;
;126;804;804;;
;116;805;805;;
;114;806;806;;
;97;807;807;;
;122;808;808;;
;81;809;809;;
;87;810;810;;
;63;811;811;;
;82;812;812;;
;64;813;813;;
;63;814;814;;
;65;815;815;;
;49;816;816;;
;56;817;817;;
;38;818;818;;
;38;819;819;;
;43;820;820;;
;37;821;821;;
;27;822;822;;
;25;823;823;;
;32;824;824;;
;25;825;825;;
;19;826;826;;
;13;827;827;;
;11;828;828;;
;15;829;829;;
;12;830;830;;
;8;831;831;;
;15;832;832;;
;5;833;833;;
;14;834;834;;
;7;835;835;;
;8;836;836;;
;6;837;837;;
;3;838;838;;
;2;839;839;;
;5;840;840;;
;4;841;841;;
;3;842;842;;
;3;843;843;;
;3;844;844;;
;1;845;845;;
;2;846;846;;
;3;847;847;;
;5;848;848;;
;2;849;849;;
;4;850;850;;
;2;851;851;;
;3;852;852;;
;3;853;853;;
;1;854;854;;
;2;855;855;;
;2;856;856;;
;3;857;857;;
;1;858;858;;
;3;859;859;;
;1;860;860;;
;1;861;861;;
;2;862;862;;
;2;863;863;;
;0;864;864;;
;0;865;865;;
;0;866;866;;
;0;867;867;;
;1;868;868;;
;1;869;869;;
;1;870;870;;
;0;871;871;;
;1;872;872;;
;1;873;873;;
;1;874;874;;
;1;875;875;;
;2;876;876;;
;0;877;877;;
;1;878;878;;
;1;879;879;;
;1;880;880;;
;2;881;881;;
;1;882;882;;
;0;883;883;;
;3;884;884;;
;3;885;885;;
;1;886;886;;
;0;887;887;;
;4;888;888;;
;0;889;889;;
;1;890;890;;
;0;891;891;;
;0;892;892;;
;1;893;893;;
;0;894;894;;
;2;895;895;;
;0;896;896;;
;1;897;897;;
;1;898;898;;
;1;899;899;;
;1;900;900;;
;1;901;901;;
;0;902;902;;
;1;903;903;;
;2;904;904;;
;0;905;905;;
;1;906;906;;
;2;907;907;;
;1;908;908;;
;2;909;909;;
;1;910;910;;
;0;911;911;;
;0;912;912;;
;2;913;913;;
;0;914;914;;
;3;915;915;;
;3;916;916;;
;4;917;917;;
;1;918;918;;
;1;919;919;;
;0;920;920;;
;0;921;921;;
;0;922;922;;
;2;923;923;;
;2;924;924;;
;2;925;925;;
;0;926;926;;
;2;927;927;;
;1;928;928;;
;2;929;929;;
;2;930;930;;
;0;931;931;;
;1;932;932;;
;1;933;933;;
;2;934;934;;
;1;935;935;;
;1;936;936;;
;0;937;937;;
;1;938;938;;
;1;939;939;;
;0;940;940;;
;0;941;941;;
;2;942;942;;
;1;943;943;;
;0;944;944;;
;1;945;945;;
;2;946;946;;
;1;947;947;;
;1;948;948;;
;2;949;949;;
;1;950;950;;
;0;951;951;;
;0;952;952;;
;0;953;953;;
;0;954;954;;
;0;955;955;;
;0;956;956;;
;0;957;957;;
;3;958;958;;
;1;959;959;;
;3;960;960;;
;2;961;961;;
;1;962;962;;
;1;963;963;;
;1;964;964;;
;0;965;965;;
;1;966;966;;
;0;967;967;;
;1;968;968;;
;0;969;969;;
;3;970;970;;
;0;971;971;;
;0;972;972;;
;4;973;973;;
;0;974;974;;
;1;975;975;;
;2;976;976;;
;0;977;977;;
;0;978;978;;
;1;979;979;;
;0;980;980;;
;1;981;981;;
;1;982;982;;
;1;983;983;;
;1;984;984;;
;1;985;985;;
;0;986;986;;
;2;987;987;;
;0;988;988;;
;1;989;989;;
;0;990;990;;
;2;991;991;;
;0;992;992;;
;2;993;993;;
;0;994;994;;
;2;995;995;;
;0;996;996;;
;0;997;997;;
;1;998;998;;
;1;999;999;;
;0;1000;1000;;
;1;1001;1001;;
;0;1002;1002;;
;0;1003;1003;;
;2;1004;1004;;
;0;1005;1005;;
;2;1006;1006;;
