Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
;7;674;674;;
;4;675;675;;
;1;676;676;;
;6;677;677;;
;5;678;678;;
;6;679;679;;
;3;680;680;;
;3;681;681;;
;8;682;682;;
;2;683;683;;
;8;684;684;;
;3;685;685;;
;3;686;686;;
;3;687;687;;
;5;688;688;;
;6;689;689;;
;5;690;690;;
;4;691;691;;
;6;692;692;;
;11;693;693;;
;5;694;694;;
;8;695;695;;
;3;696;696;;
;6;697;697;;
;4;698;698;;
;4;699;699;;
;9;700;700;;
;8;701;701;;
;2;702;702;;
;5;703;703;;
;4;704;704;;
;2;705;705;;
;7;706;706;;
;6;707;707;;
;2;708;708;;
;5;709;709;;
;2;710;710;;
;2;711;711;;
;1;712;712;;
;1;713;713;;
;1;714;714;;
;4;715;715;;
;3;716;716;;
;1;717;717;;
;2;718;718;;
;2;719;719;;
;2;720;720;;
;2;721;721;;
;2;722;722;;
;5;723;723;;
;1;724;724;;
;1;725;725;;
;3;726;726;;
;2;727;727;;
;0;728;728;;
;1;729;729;;
;0;730;730;;
;2;731;731;;
;3;732;732;;
;4;733;733;;
;2;734;734;;
;1;735;735;;
;4;736;736;;
;1;737;737;;
;1;738;738;;
;0;739;739;;
;1;740;740;;
;1;741;741;;
;3;742;742;;
;1;743;743;;
;1;744;744;;
;2;745;745;;
;3;746;746;;
;4;747;747;;
;4;748;748;;
;5;749;749;;
;3;750;750;;
;3;751;751;;
;0;752;752;;
;3;753;753;;
;5;754;754;;
;4;755;755;;
;5;756;756;;
;1;757;757;;
;4;758;758;;
;4;759;759;;
;0;760;760;;
;0;761;761;;
;3;762;762;;
;3;763;763;;
;4;764;764;;
;0;765;765;;
;6;766;766;;
;5;767;767;;
;8;768;768;;
;3;769;769;;
;2;770;770;;
;2;771;771;;
;2;772;772;;
;4;773;773;;
;6;774;774;;
;5;775;775;;
;4;776;776;;
;3;777;777;;
;2;778;778;;
;5;779;779;;
;4;780;780;;
;4;781;781;;
;2;782;782;;
;3;783;783;;
;7;784;784;;
;5;785;785;;
;1;786;786;;
;2;787;787;;
;7;788;788;;
;2;789;789;;
;2;790;790;;
;6;791;791;;
;1;792;792;;
;4;793;793;;
;2;794;794;;
;2;795;795;;
;0;796;796;;
;3;797;797;;
;3;798;798;;
;7;799;799;;
;4;800;800;;
;3;801;801;;
;3;802;802;;
;5;803;803;;
;1;804;804;;
;4;805;805;;
;2;806;806;;
;1;807;807;;
;2;808;808;;
;2;809;809;;
;3;810;810;;
;2;811;811;;
;1;812;812;;
;0;813;813;;
;2;814;814;;
;0;815;815;;
;2;816;816;;
;1;817;817;;
;1;818;818;;
;0;819;819;;
;0;820;820;;
;0;821;821;;
;0;822;822;;
;3;823;823;;
;2;824;824;;
;0;825;825;;
;0;826;826;;
;1;827;827;;
;0;828;828;;
;1;829;829;;
;0;830;830;;
;0;831;831;;
;0;832;832;;
;0;833;833;;
;0;834;834;;
;0;835;835;;
;0;836;836;;
;1;837;837;;
;1;838;838;;
;0;839;839;;
;3;840;840;;
;1;841;841;;
;0;842;842;;
;1;843;843;;
;2;844;844;;
;2;845;845;;
;0;846;846;;
;3;847;847;;
;0;848;848;;
;1;849;849;;
;0;850;850;;
;0;851;851;;
;0;852;852;;
;1;853;853;;
;0;854;854;;
;1;855;855;;
;0;856;856;;
;0;857;857;;
;0;858;858;;
;0;859;859;;
;0;860;860;;
;0;861;861;;
;1;862;862;;
;0;863;863;;
;0;864;864;;
;0;865;865;;
;0;866;866;;
;0;867;867;;
;0;868;868;;
;0;869;869;;
;1;870;870;;
;3;871;871;;
;0;872;872;;
;0;873;873;;
;0;874;874;;
;1;875;875;;
;1;876;876;;
;1;877;877;;
;0;878;878;;
;1;879;879;;
;0;880;880;;
;0;881;881;;
;0;882;882;;
;1;883;883;;
;0;884;884;;
;1;885;885;;
;0;886;886;;
;0;887;887;;
;0;888;888;;
;0;889;889;;
;0;890;890;;
;1;891;891;;
;0;892;892;;
;0;893;893;;
;0;894;894;;
;0;895;895;;
;0;896;896;;
;0;897;897;;
;0;898;898;;
;0;899;899;;
;0;900;900;;
;0;901;901;;
;0;902;902;;
;0;903;903;;
;1;904;904;;
;2;905;905;;
;0;906;906;;
;0;907;907;;
;0;908;908;;
;0;909;909;;
;0;910;910;;
;0;911;911;;
;0;912;912;;
;0;913;913;;
;0;914;914;;
;1;915;915;;
;0;916;916;;
;0;917;917;;
;0;918;918;;
;0;919;919;;
;0;920;920;;
;0;921;921;;
;0;922;922;;
;0;923;923;;
;0;924;924;;
;0;925;925;;
;0;926;926;;
;0;927;927;;
;1;928;928;;
;0;929;929;;
;0;930;930;;
;0;931;931;;
;0;932;932;;
;0;933;933;;
;0;934;934;;
;1;935;935;;
;0;936;936;;
;0;937;937;;
;0;938;938;;
;0;939;939;;
;0;940;940;;
;0;941;941;;
;0;942;942;;
;0;943;943;;
;0;944;944;;
;1;945;945;;
;0;946;946;;
;0;947;947;;
;0;948;948;;
